TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
3466,6624,525,927,18,20,684,198,7,5,86,41
2796,6635,397,853,19,21,316,233,6,4,38,49
4223,6503,552,943,21,22,165,244,4,3,24,32
4230,8995,588,1221,15,24,656,140,10,1,117,28
1711,5712,249,762,13,20,1071,325,12,5,134,46
7546,15739,746,1565,19,22,527,287,6,3,47,30
4048,8852,485,1236,15,22,626,308,10,3,67,41
5039,8490,591,1142,18,21,392,324,7,4,57,50
3902,8966,467,1102,16,22,885,243,9,3,96,24
7630,15280,684,1373,17,22,1091,391,8,3,121,41
3368,11128,401,1221,15,22,640,339,10,3,67,44
4324,9426,465,1082,17,19,613,660,8,6,62,76
6786,12911,656,1256,17,20,587,189,8,5,70,19
5741,13103,559,1350,18,20,457,338,7,5,58,45
7720,15557,791,1638,22,23,164,354,3,2,20,26
1715,5487,238,776,12,20,732,263,13,5,113,58
4705,8570,586,1089,19,21,540,316,6,4,96,59
2654,4613,415,708,17,19,724,977,8,6,123,139
3281,5779,449,819,18,19,427,706,7,6,65,95
2147,4791,283,612,17,21,653,502,8,4,92,71
4470,5753,595,772,18,20,529,360,7,5,63,44
2694,4629,402,693,17,20,871,601,8,5,107,101
2317,6255,317,888,17,20,347,708,8,5,57,91
1576,4923,179,587,11,17,1468,580,14,8,213,94
2167,4819,301,698,16,19,616,766,9,6,99,124
5948,10437,581,1179,18,23,1320,120,7,2,157,21
3522,7830,408,946,19,20,593,1003,6,5,59,133
7256,13317,668,1231,15,20,944,877,10,5,117,93
4635,9310,552,1028,16,21,928,380,9,4,126,52
4423,6935,514,905,15,22,1385,242,10,3,159,30
3386,8681,357,1084,14,21,740,1097,11,4,89,109
3722,8660,461,1004,15,21,1433,538,10,4,171,68
3895,11769,430,1296,16,21,1109,415,9,4,128,41
5181,12769,503,1324,17,22,852,456,8,3,113,39
4438,8732,540,931,15,19,1140,498,10,6,160,84
1916,6090,223,842,14,22,410,208,11,3,64,26
1961,3930,268,550,13,21,449,207,12,4,64,41
2230,4319,300,584,15,21,710,349,10,4,89,65
2374,4359,339,610,17,20,662,247,8,5,82,38
999,1641,129,207,11,16,588,403,14,9,97,70
1674,5770,241,802,12,23,1339,122,13,2,159,22
1580,4452,249,631,15,21,468,286,10,4,59,39
1580,6318,222,815,14,22,998,305,11,3,113,43
1171,5807,157,747,14,22,725,320,11,3,116,41
1455,5201,219,751,14,24,899,68,11,1,129,17
2864,7319,298,800,15,23,1304,250,10,2,147,40
3174,9330,334,995,16,21,518,120,9,4,57,17
2701,9345,282,914,16,23,656,54,9,2,68,7
3097,6055,361,696,17,19,688,502,8,6,81,74
2414,7196,266,795,14,22,999,176,11,3,101,28
4108,8290,376,802,18,18,610,935,7,7,58,95
2313,9981,256,1028,13,20,833,459,12,5,99,63
1782,8310,190,867,13,23,863,256,12,2,104,22
1880,7246,235,801,13,21,1337,344,12,4,132,55
4373,9690,395,1009,14,22,702,186,11,3,95,15
792,3273,140,506,7,20,1191,570,18,5,200,90
1560,3407,222,481,14,18,1187,986,11,7,190,166
1707,3170,261,439,15,15,1041,886,10,10,166,160
1316,3885,200,540,13,18,891,484,12,7,136,90
774,4418,110,618,9,21,1043,582,16,4,164,79
1396,3170,217,475,15,18,1187,1007,10,7,168,123
1277,3423,176,446,10,18,1440,775,15,7,213,121
1683,3556,211,478,12,17,1454,768,13,8,182,111
710,4128,96,571,7,22,1297,191,18,3,182,32
1924,4752,224,576,12,16,1499,887,13,9,215,119
1683,4366,183,514,13,18,894,781,12,7,119,99
2098,5252,266,643,14,18,1587,741,11,7,184,90
2231,7689,201,815,11,21,975,377,14,4,148,58
2337,3434,262,407,12,17,821,517,13,8,105,55
1715,7724,172,748,13,20,1682,743,12,5,192,75
4226,9748,377,842,14,20,1066,731,11,5,142,101
646,4749,76,525,9,18,2449,910,16,7,290,91
2437,6649,263,767,12,18,1377,834,13,7,180,112
2204,5670,202,525,12,19,2221,678,13,6,256,63
1907,4467,208,490,12,17,1259,710,13,8,199,116
4006,8392,593,1092,20,21,187,257,5,4,24,35
3324,7037,509,1069,19,23,347,115,6,2,58,14
2471,3545,321,510,15,19,659,691,10,6,95,88
3497,8757,436,1138,17,23,479,108,8,2,59,12
1486,4961,227,790,15,23,791,76,10,2,139,14
5326,7922,680,1116,21,22,198,54,4,3,29,9
3653,8735,540,1259,17,22,227,64,8,3,38,9
4182,8327,527,1228,18,24,380,190,7,1,70,19
3500,9101,546,1267,18,22,442,147,7,3,58,20
3639,6775,580,989,19,22,231,239,6,3,37,44
4570,7847,595,914,17,20,688,385,8,5,89,37
4226,14233,419,1371,17,21,1311,403,8,4,122,52
4156,11662,490,1323,16,22,639,76,9,3,75,9
7402,16782,685,1789,16,23,916,270,9,2,116,21
7336,9709,779,1128,20,22,624,515,5,3,55,48
6790,11045,795,1227,20,22,241,246,5,3,34,27
5385,12121,700,1242,20,21,804,292,5,4,82,41
5009,12534,584,1353,19,22,369,67,6,3,49,13
5528,9289,626,1062,17,21,656,300,8,4,77,31
5451,12157,575,1365,18,22,567,345,7,3,51,40
1609,6150,194,899,11,23,1112,490,14,2,170,65
1424,5797,202,779,12,17,1438,548,13,8,218,82
1044,6359,141,1031,12,22,1659,640,13,3,250,71
1465,6895,185,1029,11,21,976,659,14,4,145,100
2708,5338,345,792,15,19,775,588,10,6,119,100
