TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
2735,3158,354,424,14,18,444,146,11,7,78,34
2664,6129,376,846,16,23,474,7,9,2,59,1
4140,6548,462,635,16,23,564,74,9,2,64,18
3470,5697,502,668,16,24,1035,54,9,1,121,6
5357,6737,610,664,16,24,825,21,9,1,113,3
2774,4216,355,427,12,19,1249,360,13,6,134,37
5668,10805,614,1088,18,25,862,0,7,0,136,0
4190,6442,492,684,20,24,486,76,5,1,61,19
3759,4671,416,504,15,19,721,279,10,6,101,42
4768,7825,598,952,17,23,619,51,8,2,76,9
4259,6979,390,689,15,21,958,184,10,4,117,41
3220,7335,442,802,14,24,1096,10,11,1,131,2
12560,17377,1728,2355,38,48,264,45,12,2,51,9
15172,18016,2125,2511,48,50,92,0,2,0,17,0
12653,14752,1743,1945,44,46,133,140,6,4,16,22
11648,16960,1680,2530,44,48,138,24,6,2,30,6
13166,16913,1991,2452,46,48,103,22,4,2,17,3
10464,16293,1591,2318,39,48,363,72,11,2,67,18
11994,14805,1832,2241,45,48,161,36,5,2,26,5
13342,18497,1770,2532,39,45,622,61,11,5,74,8
10982,15293,1569,2070,46,48,118,12,4,2,17,3
14011,17336,1868,2243,46,46,117,116,4,4,17,23
17330,22032,1995,2376,45,45,259,122,5,5,37,17
22646,28670,2308,2800,45,47,228,30,5,3,28,3
21395,30384,2195,3121,44,48,166,28,6,2,28,7
19092,24574,2100,2792,43,49,526,0,7,1,67,0
21421,26048,2297,2729,48,47,8,19,2,3,1,2
16303,20790,1683,2208,39,48,437,20,11,2,55,4
21643,25371,2272,2738,42,46,81,43,8,4,15,9
16411,23506,1681,2443,41,48,455,122,9,2,56,15
18451,25728,2230,3034,49,50,24,0,1,0,6,0
22270,27053,2537,3005,43,46,171,123,7,4,29,13
11463,14829,1624,2086,45,47,204,46,5,3,25,7
9258,14725,1213,1956,38,45,393,29,12,5,65,6
12905,19223,1844,2802,46,49,138,12,4,1,24,2
10005,13067,1467,1942,44,45,88,42,6,5,15,8
10608,14130,1520,2027,45,47,36,31,5,3,6,5
12078,15481,1805,2258,42,46,434,36,8,4,62,7
