Insrance Number,Size,LPT,ERT,EDD,FDD,ODD,LST,CI,Size-ANN,LPT-ANN,ERT-ANN,EDD-ANN,FDD-ANN,ODD-ANN,LST-ANN,CI-ANN
390,106.98,100.97,110.06,89.17,46.28,9.69,107.54,91.04,52.37,68.55,80.07,59.77,35.57,0.85,68.57,67.36
391,73.95,98.96,73.94,74.92,55.26,24.51,83.03,86.11,45.34,51.77,82.57,53.46,32.12,6.07,46.93,43.54
392,92.32,124.35,101.42,114.5,43.77,28.24,128.05,106.39,67.73,75.5,107.1,82.68,33.79,6.23,73.04,78.53
393,94.04,100,91.69,75.67,51.24,31.46,90.46,65.27,45.87,63.83,80.04,56.28,34.62,9.9,51.82,60.8
394,90.17,96.39,90.13,68.35,62.15,19.78,83.8,76.28,52.77,64.29,85.56,51.87,46.83,4.06,48.39,48.79
395,99.84,111.18,74.17,89.81,42.13,16.93,83.45,90,46.15,59.74,90.3,58.83,29.76,2.58,53.02,55.52
396,91.02,118.39,74.32,67.26,49.98,24.25,83.27,78.27,44.28,54.13,93.39,41.69,24.54,4.97,61.54,63.11
397,87.27,74.94,70.38,65.77,35.67,14.13,48.74,65.69,40.79,42.87,69.15,40.38,21.59,2.29,42.82,43.54
398,67.65,72.63,71.56,68.56,43.12,12.71,74.95,61.51,37.22,52.77,72.63,40.7,19.15,2.16,43.76,50.46
399,75.06,79.03,63.59,69.84,44.43,7.63,96.8,79.02,40.76,47.7,67,49.09,17.45,0.6,37.5,51.31
400,73.62,103.87,67.28,60.89,43.62,23.32,85.83,76.17,44.87,57.95,80.16,50.44,28.84,5.24,46.46,48.97
401,80.66,50.27,63.08,61.57,37.6,18.71,75.19,47.25,30.39,23.74,39.38,27.97,15.04,2.8,42.67,33.28
402,76.16,88.02,56.22,59.79,51.36,29.55,90.92,68.25,33.38,35.48,63.03,25.28,25.51,7.03,49.55,47.89
403,82.45,97.22,81.34,70.92,59.01,21.87,71.8,72.04,34.52,55.59,52.71,29.43,30.29,4.92,59.67,62.92
404,48.61,49.39,45.26,49.54,30.68,11.26,55.64,41.88,24.71,24.44,27.57,27.46,14.73,2.28,39.6,39.31
405,100.17,94.68,73.68,88.63,49.96,21.06,82.42,62,35.62,48.22,62.09,43.88,29.09,4.43,44.83,54.48
406,97.2,102.59,70.76,59.43,59.11,10.49,64.18,59.69,56.15,41.73,58.63,33.18,24.87,1.07,42.88,60.66
407,68.25,82.04,55.72,60.87,30.97,13.66,61.44,46.1,50.83,31.28,51.5,22.96,18.03,2.28,43.17,47.42
408,102.56,81.91,67.07,69.91,57.58,24.44,86.14,72.38,55.73,41.32,53.14,39.11,32.26,5.82,56.42,53.77
409,100.5,110.61,68.58,72.12,65.09,39.42,70.99,68.42,48.62,42.51,82.42,44.77,31,8.69,55.91,59.94
410,128.19,138.56,76.49,101.72,74.59,43.31,119.14,101.43,72.69,48.52,117.4,69.41,40.57,11.88,90.44,86.71
411,55.63,69.07,49.22,46.78,45.2,24.15,43.42,40.78,29.97,30.86,52.63,21.5,22,6.7,36.15,32.47
